PONumber,LineNumber,SupplierID,SKU,WarehouseID,OrderDate,PromisedDate,ReceivedDate,QtyOrdered,QtyReceived
90027,3,SUP-05,SKU-1016,WH-03,20/01/2025,10/02/2025,10/02/2025,500,250
90028,1,SUP-02,SKU-1001,WH-02,20/01/2025,03/02/2025,03/02/2025,1000,1000
90029,1,SUP-04,SKU-1009,WH-02,20/01/2025,17/02/2025,17/02/2025,2000,2000
90029,2,SUP-04,SKU-1003,WH-01,20/01/2025,17/02/2025,17/02/2025,500,500
90029,3,SUP-04,SKU-1021,WH-03,20/01/2025,17/02/2025,17/02/2025,1500,1500
90030,1,SUP-05,SKU-1010,WH-04,27/01/2025,17/02/2025,17/02/2025,2000,2000
90030,2,SUP-05,SKU-1010,WH-02,27/01/2025,17/02/2025,17/02/2025,1000,1000
90031,1,SUP-01,SKU-1006,WH-03,27/01/2025,03/02/2025,03/02/2025,500,500
90031,2,SUP-01,SKU-1024,WH-01,27/01/2025,03/02/2025,03/02/2025,2000,2000
90032,1,SUP-01,SKU-1024,WH-02,27/01/2025,03/02/2025,03/02/2025,1500,1500
90032,2,SUP-01,SKU-1006,WH-02,27/01/2025,03/02/2025,03/02/2025,1000,1000
90033,1,SUP-05,SKU-1010,WH-01,27/01/2025,17/02/2025,17/02/2025,500,375
90033,2,SUP-05,SKU-1022,WH-03,27/01/2025,17/02/2025,17/02/2025,500,500
90034,1,SUP-03,SKU-1020,WH-03,27/01/2025,06/02/2025,06/02/2025,500,500
90034,2,SUP-03,SKU-1008,WH-01,27/01/2025,06/02/2025,06/02/2025,1000,1000
90034,3,SUP-03,SKU-1014,WH-04,27/01/2025,06/02/2025,06/02/2025,2000,2000
90035,1,SUP-03,SKU-1008,WH-04,27/01/2025,06/02/2025,06/02/2025,500,450
90036,1,SUP-06,SKU-1017,WH-04,27/01/2025,13/03/2025,15/03/2025,500,500
90036,2,SUP-06,SKU-1011,WH-01,27/01/2025,13/03/2025,15/03/2025,1500,1500
90036,3,SUP-06,SKU-1023,WH-03,27/01/2025,13/03/2025,15/03/2025,500,500
90037,1,SUP-05,SKU-1016,WH-04,27/01/2025,17/02/2025,17/02/2025,1000,1000
90037,2,SUP-05,SKU-1022,WH-03,27/01/2025,17/02/2025,17/02/2025,2000,2000
90038,1,SUP-05,SKU-1010,WH-04,27/01/2025,17/02/2025,17/02/2025,1500,1500
90039,1,SUP-03,SKU-1002,WH-01,03/02/2025,13/02/2025,13/02/2025,1000,1000
90039,2,SUP-03,SKU-1020,WH-03,03/02/2025,13/02/2025,13/02/2025,500,500
90039,3,SUP-03,SKU-1008,WH-04,03/02/2025,13/02/2025,13/02/2025,1000,1000
90040,1,SUP-02,SKU-1001,WH-03,03/02/2025,17/02/2025,17/02/2025,2000,2000
90040,2,SUP-02,SKU-1013,WH-01,03/02/2025,17/02/2025,17/02/2025,1000,750
90040,3,SUP-02,SKU-1013,WH-03,03/02/2025,17/02/2025,17/02/2025,500,500
90041,1,SUP-04,SKU-1009,WH-01,03/02/2025,03/03/2025,03/03/2025,1000,1000
90041,2,SUP-04,SKU-1021,WH-04,03/02/2025,03/03/2025,03/03/2025,1500,1500
90041,3,SUP-04,SKU-1003,WH-01,03/02/2025,03/03/2025,03/03/2025,2000,2000
90042,1,SUP-01,SKU-1006,WH-02,03/02/2025,10/02/2025,10/02/2025,1500,1500
90042,2,SUP-01,SKU-1012,WH-04,03/02/2025,10/02/2025,10/02/2025,1000,900
90043,1,SUP-04,SKU-1015,WH-01,03/02/2025,03/03/2025,03/03/2025,2000,1500
90043,2,SUP-04,SKU-1021,WH-01,03/02/2025,03/03/2025,03/03/2025,2000,2000
90044,1,SUP-02,SKU-1007,WH-01,03/02/2025,17/02/2025,17/02/2025,1000,1000
90044,2,SUP-02,SKU-1019,WH-04,03/02/2025,17/02/2025,17/02/2025,1500,1500
90045,1,SUP-04,SKU-1009,WH-03,03/02/2025,03/03/2025,03/03/2025,1000,1000
90045,2,SUP-04,SKU-1003,WH-02,03/02/2025,03/03/2025,03/03/2025,2000,2000
90046,1,SUP-02,SKU-1001,WH-04,03/02/2025,17/02/2025,17/02/2025,1500,1500
90046,2,SUP-02,SKU-1001,WH-04,03/02/2025,17/02/2025,17/02/2025,2000,2000
90046,3,SUP-02,SKU-1007,WH-04,03/02/2025,17/02/2025,17/02/2025,2000,2000
90047,1,SUP-05,SKU-1022,WH-04,03/02/2025,24/02/2025,24/02/2025,500,500
90047,2,SUP-05,SKU-1022,WH-04,03/02/2025,24/02/2025,24/02/2025,500,500
90047,3,SUP-05,SKU-1010,WH-04,03/02/2025,24/02/2025,24/02/2025,2000,2000
90048,1,SUP-02,SKU-1013,WH-01,03/02/2025,17/02/2025,01/03/2025,1500,1500
90049,1,SUP-05,SKU-1016,WH-02,03/02/2025,24/02/2025,24/02/2025,1500,1350
90050,1,SUP-01,SKU-1006,WH-04,03/02/2025,10/02/2025,10/02/2025,1500,750
90050,2,SUP-01,SKU-1024,WH-04,03/02/2025,10/02/2025,10/02/2025,1000,1000
90051,1,SUP-06,SKU-1005,WH-02,10/02/2025,27/03/2025,27/03/2025,1000,1000
90051,2,SUP-06,SKU-1023,WH-04,10/02/2025,27/03/2025,27/03/2025,500,500
90051,3,SUP-06,SKU-1017,WH-02,10/02/2025,27/03/2025,27/03/2025,1500,1500
90052,1,SUP-03,SKU-1008,WH-02,10/02/2025,20/02/2025,20/02/2025,1500,1500
90052,2,SUP-03,SKU-1008,WH-01,10/02/2025,20/02/2025,20/02/2025,1000,1000
90052,3,SUP-03,SKU-1008,WH-02,10/02/2025,20/02/2025,20/02/2025,1500,1500
90053,1,SUP-06,SKU-1023,WH-02,10/02/2025,27/03/2025,31/03/2025,2000,2000
90053,2,SUP-06,SKU-1005,WH-03,10/02/2025,27/03/2025,31/03/2025,1500,1500
90053,3,SUP-06,SKU-1017,WH-04,10/02/2025,27/03/2025,31/03/2025,1000,900
90054,1,SUP-02,SKU-1013,WH-01,10/02/2025,24/02/2025,24/02/2025,1000,1000
90054,2,SUP-02,SKU-1007,WH-01,10/02/2025,24/02/2025,24/02/2025,2000,2000
90054,3,SUP-02,SKU-1013,WH-04,10/02/2025,24/02/2025,24/02/2025,1000,1000
90055,1,SUP-04,SKU-1021,WH-01,10/02/2025,10/03/2025,10/03/2025,500,500
90056,1,SUP-06,SKU-1005,WH-01,10/02/2025,27/03/2025,31/03/2025,1500,1500
90056,2,SUP-06,SKU-1011,WH-01,10/02/2025,27/03/2025,31/03/2025,1500,1500
90056,3,SUP-06,SKU-1017,WH-01,10/02/2025,27/03/2025,31/03/2025,2000,2000
90057,1,SUP-05,SKU-1016,WH-03,17/02/2025,10/03/2025,10/03/2025,2000,2000
90057,2,SUP-05,SKU-1016,WH-04,17/02/2025,10/03/2025,10/03/2025,2000,2000
90057,3,SUP-05,SKU-1016,WH-02,17/02/2025,10/03/2025,10/03/2025,500,500
90058,1,SUP-01,SKU-1024,WH-04,17/02/2025,24/02/2025,24/02/2025,500,500
90058,2,SUP-01,SKU-1012,WH-02,17/02/2025,24/02/2025,24/02/2025,500,500
90058,3,SUP-01,SKU-1006,WH-03,17/02/2025,24/02/2025,24/02/2025,2000,2000
90059,1,SUP-04,SKU-1015,WH-02,17/02/2025,17/03/2025,17/03/2025,500,500
90060,1,SUP-02,SKU-1007,WH-01,17/02/2025,03/03/2025,03/03/2025,1000,1000
90060,2,SUP-02,SKU-1013,WH-02,17/02/2025,03/03/2025,03/03/2025,1500,1500
90061,1,SUP-06,SKU-1005,WH-01,17/02/2025,03/04/2025,03/04/2025,1000,1000
90061,2,SUP-06,SKU-1005,WH-02,17/02/2025,03/04/2025,03/04/2025,1500,1500
90061,3,SUP-06,SKU-1005,WH-03,17/02/2025,03/04/2025,03/04/2025,1000,1000
90062,1,SUP-02,SKU-1013,WH-03,17/02/2025,03/03/2025,03/03/2025,1000,900
90062,2,SUP-02,SKU-1007,WH-04,17/02/2025,03/03/2025,03/03/2025,2000,2000
90063,1,SUP-03,SKU-1020,WH-02,17/02/2025,27/02/2025,27/02/2025,1000,1000
90063,2,SUP-03,SKU-1020,WH-01,17/02/2025,27/02/2025,27/02/2025,500,500
90064,1,SUP-04,SKU-1015,WH-02,17/02/2025,17/03/2025,18/03/2025,1500,1500
90065,1,SUP-05,SKU-1022,WH-04,17/02/2025,10/03/2025,10/03/2025,500,500
90065,2,SUP-05,SKU-1022,WH-01,17/02/2025,10/03/2025,10/03/2025,2000,2000
90065,3,SUP-05,SKU-1016,WH-02,17/02/2025,10/03/2025,10/03/2025,1000,1000
90066,1,SUP-01,SKU-1006,WH-02,17/02/2025,24/02/2025,24/02/2025,1000,900
90066,2,SUP-01,SKU-1006,WH-01,17/02/2025,24/02/2025,24/02/2025,2000,2000
90066,3,SUP-01,SKU-1018,WH-01,17/02/2025,24/02/2025,24/02/2025,2000,2000
90067,1,SUP-01,SKU-1012,WH-04,17/02/2025,24/02/2025,24/02/2025,1000,1000
90067,2,SUP-01,SKU-1006,WH-02,17/02/2025,24/02/2025,24/02/2025,2000,2000
90068,1,SUP-03,SKU-1020,WH-03,17/02/2025,27/02/2025,27/02/2025,1500,1500
90069,1,SUP-04,SKU-1003,WH-04,24/02/2025,24/03/2025,24/03/2025,2000,2000
90069,2,SUP-04,SKU-1021,WH-02,24/02/2025,24/03/2025,24/03/2025,2000,1800
90069,3,SUP-04,SKU-1021,WH-04,24/02/2025,24/03/2025,24/03/2025,1500,1500
90070,1,SUP-05,SKU-1022,WH-04,24/02/2025,17/03/2025,29/03/2025,500,500
90071,1,SUP-04,SKU-1015,WH-02,24/02/2025,24/03/2025,31/03/2025,500,500
90071,2,SUP-04,SKU-1021,WH-01,24/02/2025,24/03/2025,31/03/2025,2000,2000
90071,3,SUP-04,SKU-1015,WH-02,24/02/2025,24/03/2025,31/03/2025,2000,2000
90072,1,SUP-05,SKU-1016,WH-01,24/02/2025,17/03/2025,17/03/2025,1000,1000
90072,2,SUP-05,SKU-1022,WH-02,24/02/2025,17/03/2025,17/03/2025,1500,1500
90072,3,SUP-05,SKU-1022,WH-03,24/02/2025,17/03/2025,17/03/2025,500,500
90073,1,SUP-01,SKU-1012,WH-02,24/02/2025,03/03/2025,03/03/2025,1500,1500
90073,2,SUP-01,SKU-1006,WH-03,24/02/2025,03/03/2025,03/03/2025,2000,2000
90073,3,SUP-01,SKU-1006,WH-01,24/02/2025,03/03/2025,03/03/2025,2000,1500
90074,1,SUP-03,SKU-1002,WH-03,24/02/2025,06/03/2025,06/03/2025,500,375
90075,1,SUP-05,SKU-1004,WH-03,24/02/2025,17/03/2025,17/03/2025,500,500
90075,2,SUP-05,SKU-1010,WH-02,24/02/2025,17/03/2025,17/03/2025,2000,2000
90075,3,SUP-05,SKU-1022,WH-04,24/02/2025,17/03/2025,17/03/2025,2000,2000
90076,1,SUP-03,SKU-1014,WH-03,24/02/2025,06/03/2025,06/03/2025,500,450
90077,1,SUP-05,SKU-1016,WH-01,24/02/2025,17/03/2025,17/03/2025,1500,1500
90077,2,SUP-05,SKU-1004,WH-02,24/02/2025,17/03/2025,17/03/2025,1500,1500
90077,3,SUP-05,SKU-1010,WH-04,24/02/2025,17/03/2025,17/03/2025,1500,1500
90078,1,SUP-03,SKU-1002,WH-03,03/03/2025,13/03/2025,13/03/2025,1000,500
90078,2,SUP-03,SKU-1020,WH-04,03/03/2025,13/03/2025,13/03/2025,1500,1500
90079,1,SUP-06,SKU-1011,WH-02,03/03/2025,17/04/2025,17/04/2025,500,500
90079,2,SUP-06,SKU-1017,WH-04,03/03/2025,17/04/2025,17/04/2025,1500,1500
90079,3,SUP-06,SKU-1011,WH-01,03/03/2025,17/04/2025,17/04/2025,2000,2000
90080,1,SUP-04,SKU-1009,WH-04,03/03/2025,31/03/2025,01/04/2025,2000,2000
90081,1,SUP-04,SKU-1009,WH-04,03/03/2025,31/03/2025,02/04/2025,500,500
90081,2,SUP-04,SKU-1009,WH-03,03/03/2025,31/03/2025,02/04/2025,500,450
90082,1,SUP-04,SKU-1003,WH-01,03/03/2025,31/03/2025,31/03/2025,1500,1500
90082,2,SUP-04,SKU-1015,WH-03,03/03/2025,31/03/2025,31/03/2025,1500,1500
90082,3,SUP-04,SKU-1015,WH-01,03/03/2025,31/03/2025,31/03/2025,1000,1000
90083,1,SUP-03,SKU-1008,WH-04,03/03/2025,13/03/2025,13/03/2025,1500,1500
90083,2,SUP-03,SKU-1020,WH-03,03/03/2025,13/03/2025,13/03/2025,500,500
90084,1,SUP-05,SKU-1010,WH-03,03/03/2025,24/03/2025,24/03/2025,500,250
90084,2,SUP-05,SKU-1004,WH-02,03/03/2025,24/03/2025,24/03/2025,500,500
90084,3,SUP-05,SKU-1022,WH-04,03/03/2025,24/03/2025,24/03/2025,500,450
90085,1,SUP-01,SKU-1024,WH-02,03/03/2025,10/03/2025,10/03/2025,2000,2000
90085,2,SUP-01,SKU-1024,WH-01,03/03/2025,10/03/2025,10/03/2025,2000,2000
90085,3,SUP-01,SKU-1024,WH-02,03/03/2025,10/03/2025,10/03/2025,2000,1000
90086,1,SUP-04,SKU-1021,WH-02,03/03/2025,31/03/2025,04/04/2025,1500,1500
90087,1,SUP-03,SKU-1008,WH-04,03/03/2025,13/03/2025,20/03/2025,1000,750
90088,1,SUP-05,SKU-1016,WH-04,03/03/2025,24/03/2025,24/03/2025,500,500
90088,2,SUP-05,SKU-1022,WH-03,03/03/2025,24/03/2025,24/03/2025,2000,2000
90089,1,SUP-04,SKU-1015,WH-04,03/03/2025,31/03/2025,02/04/2025,1500,1500
90089,2,SUP-04,SKU-1009,WH-03,03/03/2025,31/03/2025,02/04/2025,1000,1000
90089,3,SUP-04,SKU-1009,WH-04,03/03/2025,31/03/2025,02/04/2025,500,500
90090,1,SUP-05,SKU-1004,WH-01,10/03/2025,31/03/2025,31/03/2025,500,500
90090,2,SUP-05,SKU-1010,WH-01,10/03/2025,31/03/2025,31/03/2025,1500,750
90091,1,SUP-03,SKU-1014,WH-01,10/03/2025,20/03/2025,20/03/2025,1000,1000
90091,2,SUP-03,SKU-1008,WH-01,10/03/2025,20/03/2025,20/03/2025,500,500
90092,1,SUP-02,SKU-1019,WH-04,10/03/2025,24/03/2025,24/03/2025,2000,2000
90092,2,SUP-02,SKU-1019,WH-04,10/03/2025,24/03/2025,24/03/2025,1500,1500
90093,1,SUP-01,SKU-1024,WH-01,10/03/2025,17/03/2025,19/03/2025,2000,2000
90093,2,SUP-01,SKU-1006,WH-01,10/03/2025,17/03/2025,19/03/2025,500,500
90094,1,SUP-02,SKU-1019,WH-03,10/03/2025,24/03/2025,24/03/2025,1000,1000
90094,2,SUP-02,SKU-1001,WH-02,10/03/2025,24/03/2025,24/03/2025,2000,2000
90095,1,SUP-04,SKU-1021,WH-03,10/03/2025,07/04/2025,14/04/2025,1000,1000
90096,1,SUP-04,SKU-1021,WH-04,10/03/2025,07/04/2025,07/04/2025,1000,1000
90097,1,SUP-02,SKU-1007,WH-03,17/03/2025,31/03/2025,31/03/2025,500,500
90097,2,SUP-02,SKU-1013,WH-04,17/03/2025,31/03/2025,31/03/2025,500,500
90098,1,SUP-05,SKU-1016,WH-03,17/03/2025,07/04/2025,07/04/2025,1500,1500
90099,1,SUP-02,SKU-1019,WH-04,17/03/2025,31/03/2025,31/03/2025,1000,1000
90100,1,SUP-06,SKU-1005,WH-01,17/03/2025,01/05/2025,13/05/2025,1000,1000
90100,2,SUP-06,SKU-1011,WH-02,17/03/2025,01/05/2025,13/05/2025,1000,900
90100,3,SUP-06,SKU-1011,WH-02,17/03/2025,01/05/2025,13/05/2025,500,500
90101,1,SUP-01,SKU-1018,WH-01,17/03/2025,24/03/2025,24/03/2025,1000,1000
90102,1,SUP-02,SKU-1007,WH-03,17/03/2025,31/03/2025,31/03/2025,1500,1500
90103,1,SUP-01,SKU-1012,WH-02,17/03/2025,24/03/2025,24/03/2025,1500,1500
90103,2,SUP-01,SKU-1012,WH-04,17/03/2025,24/03/2025,24/03/2025,500,500
90104,1,SUP-06,SKU-1005,WH-01,17/03/2025,01/05/2025,01/05/2025,1500,1500
90104,2,SUP-06,SKU-1011,WH-04,17/03/2025,01/05/2025,01/05/2025,1000,500
90105,1,SUP-06,SKU-1011,WH-02,17/03/2025,01/05/2025,08/05/2025,2000,2000
90106,1,SUP-06,SKU-1023,WH-04,24/03/2025,08/05/2025,15/05/2025,2000,2000
90106,2,SUP-06,SKU-1011,WH-02,24/03/2025,08/05/2025,15/05/2025,500,500
90106,3,SUP-06,SKU-1005,WH-04,24/03/2025,08/05/2025,15/05/2025,2000,2000
90107,1,SUP-05,SKU-1010,WH-04,24/03/2025,14/04/2025,14/04/2025,1500,1500
90107,2,SUP-05,SKU-1004,WH-03,24/03/2025,14/04/2025,14/04/2025,500,500
90107,3,SUP-05,SKU-1022,WH-01,24/03/2025,14/04/2025,14/04/2025,2000,1500
90108,1,SUP-04,SKU-1003,WH-01,24/03/2025,21/04/2025,21/04/2025,1000,900
90109,1,SUP-01,SKU-1006,WH-04,24/03/2025,31/03/2025,31/03/2025,500,500
90109,2,SUP-01,SKU-1006,WH-03,24/03/2025,31/03/2025,31/03/2025,1500,1500
90110,1,SUP-02,SKU-1019,WH-02,24/03/2025,07/04/2025,07/04/2025,1500,1500
90111,1,SUP-06,SKU-1023,WH-01,24/03/2025,08/05/2025,08/05/2025,1000,1000
90111,2,SUP-06,SKU-1005,WH-02,24/03/2025,08/05/2025,08/05/2025,1000,500
90112,1,SUP-04,SKU-1003,WH-02,24/03/2025,21/04/2025,22/04/2025,2000,1000
90113,1,SUP-02,SKU-1001,WH-02,31/03/2025,14/04/2025,14/04/2025,1500,1500
90113,2,SUP-02,SKU-1013,WH-01,31/03/2025,14/04/2025,14/04/2025,1500,1500
90114,1,SUP-03,SKU-1002,WH-01,31/03/2025,10/04/2025,22/04/2025,2000,2000
90114,2,SUP-03,SKU-1014,WH-02,31/03/2025,10/04/2025,22/04/2025,2000,2000
90114,3,SUP-03,SKU-1014,WH-01,31/03/2025,10/04/2025,22/04/2025,500,500
90115,1,SUP-03,SKU-1002,WH-01,31/03/2025,10/04/2025,10/04/2025,2000,2000
90115,2,SUP-03,SKU-1008,WH-04,31/03/2025,10/04/2025,10/04/2025,1500,1500
90115,3,SUP-03,SKU-1020,WH-04,31/03/2025,10/04/2025,10/04/2025,500,500
90116,1,SUP-04,SKU-1009,WH-01,31/03/2025,28/04/2025,28/04/2025,1500,1500
90116,2,SUP-04,SKU-1009,WH-04,31/03/2025,28/04/2025,28/04/2025,500,500
90117,1,SUP-04,SKU-1015,WH-04,31/03/2025,28/04/2025,28/04/2025,500,500
90118,1,SUP-01,SKU-1012,WH-04,31/03/2025,07/04/2025,09/04/2025,2000,1800
90119,1,SUP-02,SKU-1007,WH-01,31/03/2025,14/04/2025,14/04/2025,2000,2000
90119,2,SUP-02,SKU-1007,WH-02,31/03/2025,14/04/2025,14/04/2025,1000,1000
90119,3,SUP-02,SKU-1019,WH-04,31/03/2025,14/04/2025,14/04/2025,1500,1500
90120,1,SUP-01,SKU-1024,WH-04,31/03/2025,07/04/2025,11/04/2025,2000,2000
90120,2,SUP-01,SKU-1006,WH-02,31/03/2025,07/04/2025,11/04/2025,1000,1000
90120,3,SUP-01,SKU-1018,WH-02,31/03/2025,07/04/2025,11/04/2025,2000,2000
90121,1,SUP-04,SKU-1009,WH-04,31/03/2025,28/04/2025,28/04/2025,1000,1000
90121,2,SUP-04,SKU-1003,WH-03,31/03/2025,28/04/2025,28/04/2025,500,500
90122,1,SUP-02,SKU-1019,WH-03,31/03/2025,14/04/2025,14/04/2025,1000,1000
90122,2,SUP-02,SKU-1019,WH-03,31/03/2025,14/04/2025,14/04/2025,2000,2000
90123,1,SUP-05,SKU-1004,WH-04,07/04/2025,28/04/2025,28/04/2025,1500,1500
90123,2,SUP-05,SKU-1010,WH-03,07/04/2025,28/04/2025,28/04/2025,1000,900
90124,1,SUP-03,SKU-1014,WH-02,07/04/2025,17/04/2025,17/04/2025,1500,1500
90125,1,SUP-02,SKU-1019,WH-02,07/04/2025,21/04/2025,21/04/2025,2000,2000
90125,2,SUP-02,SKU-1019,WH-03,07/04/2025,21/04/2025,21/04/2025,1000,1000
90126,1,SUP-02,SKU-1013,WH-01,07/04/2025,21/04/2025,23/04/2025,500,250
90126,2,SUP-02,SKU-1019,WH-01,07/04/2025,21/04/2025,23/04/2025,2000,2000
90127,1,SUP-06,SKU-1011,WH-03,07/04/2025,22/05/2025,22/05/2025,2000,2000
90127,2,SUP-06,SKU-1005,WH-01,07/04/2025,22/05/2025,22/05/2025,1000,1000
90128,1,SUP-03,SKU-1014,WH-04,07/04/2025,17/04/2025,17/04/2025,2000,2000
90128,2,SUP-03,SKU-1002,WH-02,07/04/2025,17/04/2025,17/04/2025,1000,900
90128,3,SUP-03,SKU-1008,WH-03,07/04/2025,17/04/2025,17/04/2025,500,500
90129,1,SUP-04,SKU-1009,WH-04,07/04/2025,05/05/2025,05/05/2025,1500,1500
90130,1,SUP-04,SKU-1009,WH-01,07/04/2025,05/05/2025,12/05/2025,1000,1000
90130,2,SUP-04,SKU-1009,WH-03,07/04/2025,05/05/2025,12/05/2025,2000,2000
90131,1,SUP-04,SKU-1015,WH-01,07/04/2025,05/05/2025,09/05/2025,500,500
90131,2,SUP-04,SKU-1015,WH-01,07/04/2025,05/05/2025,09/05/2025,1000,1000
90132,1,SUP-03,SKU-1008,WH-03,14/04/2025,24/04/2025,24/04/2025,1000,1000
90133,1,SUP-04,SKU-1003,WH-03,14/04/2025,12/05/2025,12/05/2025,500,500
90134,1,SUP-03,SKU-1002,WH-03,14/04/2025,24/04/2025,24/04/2025,1500,1500
90134,2,SUP-03,SKU-1002,WH-02,14/04/2025,24/04/2025,24/04/2025,2000,1800
90135,1,SUP-05,SKU-1004,WH-03,14/04/2025,05/05/2025,05/05/2025,500,500
90135,2,SUP-05,SKU-1016,WH-02,14/04/2025,05/05/2025,05/05/2025,500,375
90135,3,SUP-05,SKU-1016,WH-03,14/04/2025,05/05/2025,05/05/2025,1500,1500
90136,1,SUP-01,SKU-1018,WH-03,14/04/2025,21/04/2025,21/04/2025,1500,1500
90136,2,SUP-01,SKU-1024,WH-01,14/04/2025,21/04/2025,21/04/2025,2000,2000
90136,3,SUP-01,SKU-1006,WH-01,14/04/2025,21/04/2025,21/04/2025,1500,1500
