SnapshotDate,SKU,WarehouseID,OnHandQty,OnOrderQty
01/01/2025,SKU-1015,WH-04,2591,500
01/01/2025,SKU-1016,WH-01,1560,0
01/01/2025,SKU-1016,WH-02,2481,0
01/01/2025,SKU-1016,WH-03,2346,0
01/01/2025,SKU-1016,WH-04,381,1000
01/01/2025,SKU-1017,WH-01,736,0
01/01/2025,SKU-1017,WH-02,1596,0
01/01/2025,SKU-1017,WH-03,1498,1000
01/01/2025,SKU-1017,WH-04,1334,0
01/01/2025,SKU-1018,WH-01,777,0
01/01/2025,SKU-1018,WH-02,2712,500
01/01/2025,SKU-1018,WH-03,2666,0
01/01/2025,SKU-1018,WH-04,951,0
01/01/2025,SKU-1019,WH-01,1544,0
01/01/2025,SKU-1019,WH-02,1555,1000
01/01/2025,SKU-1019,WH-03,2757,0
01/01/2025,SKU-1019,WH-04,1105,1000
01/01/2025,SKU-1020,WH-01,1314,0
01/01/2025,SKU-1020,WH-02,911,0
01/01/2025,SKU-1020,WH-03,1193,0
01/01/2025,SKU-1020,WH-04,1915,1000
01/01/2025,SKU-1021,WH-01,714,0
01/01/2025,SKU-1021,WH-02,1678,500
01/01/2025,SKU-1021,WH-03,1893,0
01/01/2025,SKU-1021,WH-04,1121,0
01/01/2025,SKU-1022,WH-01,2443,0
01/01/2025,SKU-1022,WH-02,0,500
01/01/2025,SKU-1022,WH-03,418,0
01/01/2025,SKU-1022,WH-04,886,0
01/01/2025,SKU-1023,WH-01,1870,0
01/01/2025,SKU-1023,WH-02,856,0
01/01/2025,SKU-1023,WH-03,2612,0
01/01/2025,SKU-1023,WH-04,1442,0
01/01/2025,SKU-1024,WH-01,2862,0
01/01/2025,SKU-1024,WH-02,1579,500
01/01/2025,SKU-1024,WH-03,1162,1000
01/01/2025,SKU-1024,WH-04,2072,0
02/01/2025,SKU-1001,WH-01,1580,0
02/01/2025,SKU-1001,WH-02,787,500
02/01/2025,SKU-1001,WH-03,1791,1000
02/01/2025,SKU-1001,WH-04,2126,1000
02/01/2025,SKU-1002,WH-01,2637,0
02/01/2025,SKU-1002,WH-02,2973,0
02/01/2025,SKU-1002,WH-03,954,0
02/01/2025,SKU-1002,WH-04,1500,0
02/01/2025,SKU-1003,WH-01,2854,1000
02/01/2025,SKU-1003,WH-02,1906,0
02/01/2025,SKU-1003,WH-03,2511,500
02/01/2025,SKU-1003,WH-04,1725,1000
02/01/2025,SKU-1004,WH-01,584,0
02/01/2025,SKU-1004,WH-02,940,1000
02/01/2025,SKU-1004,WH-03,1027,0
02/01/2025,SKU-1004,WH-04,1657,0
02/01/2025,SKU-1005,WH-01,1307,500
02/01/2025,SKU-1005,WH-02,91,500
02/01/2025,SKU-1005,WH-03,514,0
02/01/2025,SKU-1005,WH-04,782,0
02/01/2025,SKU-1006,WH-01,1522,0
02/01/2025,SKU-1006,WH-02,1254,1000
02/01/2025,SKU-1006,WH-03,3094,0
02/01/2025,SKU-1006,WH-04,2611,0
02/01/2025,SKU-1007,WH-01,2409,0
02/01/2025,SKU-1007,WH-02,1069,0
02/01/2025,SKU-1007,WH-03,2631,500
02/01/2025,SKU-1007,WH-04,2012,1000
02/01/2025,SKU-1008,WH-01,2179,1000
02/01/2025,SKU-1008,WH-02,2660,1000
02/01/2025,SKU-1008,WH-03,2093,500
02/01/2025,SKU-1008,WH-04,1308,0
02/01/2025,SKU-1009,WH-01,1334,1000
02/01/2025,SKU-1009,WH-02,452,0
02/01/2025,SKU-1009,WH-03,966,0
02/01/2025,SKU-1009,WH-04,514,0
02/01/2025,SKU-1010,WH-01,2321,0
02/01/2025,SKU-1010,WH-02,1303,0
02/01/2025,SKU-1010,WH-03,2980,500
02/01/2025,SKU-1010,WH-04,1959,0
02/01/2025,SKU-1011,WH-01,2802,0
02/01/2025,SKU-1011,WH-02,2336,500
02/01/2025,SKU-1011,WH-03,1299,0
02/01/2025,SKU-1011,WH-04,592,1000
02/01/2025,SKU-1012,WH-01,957,1000
02/01/2025,SKU-1012,WH-02,1020,0
02/01/2025,SKU-1012,WH-03,1114,1000
02/01/2025,SKU-1012,WH-04,1087,0
02/01/2025,SKU-1013,WH-01,2224,500
02/01/2025,SKU-1013,WH-02,1797,0
02/01/2025,SKU-1013,WH-03,2704,1000
02/01/2025,SKU-1013,WH-04,2585,0
02/01/2025,SKU-1014,WH-01,765,0
02/01/2025,SKU-1014,WH-02,2898,0
02/01/2025,SKU-1014,WH-03,842,0
02/01/2025,SKU-1014,WH-04,349,0
02/01/2025,SKU-1015,WH-01,2519,0
02/01/2025,SKU-1015,WH-02,1589,0
02/01/2025,SKU-1015,WH-03,1763,0
02/01/2025,SKU-1015,WH-04,2566,0
02/01/2025,SKU-1016,WH-01,1681,500
02/01/2025,SKU-1016,WH-02,2534,0
02/01/2025,SKU-1016,WH-03,2260,0
02/01/2025,SKU-1016,WH-04,545,500
02/01/2025,SKU-1017,WH-01,716,0
02/01/2025,SKU-1017,WH-02,1591,0
02/01/2025,SKU-1017,WH-03,1479,500
02/01/2025,SKU-1017,WH-04,1327,500
02/01/2025,SKU-1018,WH-01,612,1000
02/01/2025,SKU-1018,WH-02,2705,0
02/01/2025,SKU-1018,WH-03,2811,500
02/01/2025,SKU-1018,WH-04,979,1000
02/01/2025,SKU-1019,WH-01,1574,500
02/01/2025,SKU-1019,WH-02,1378,0
02/01/2025,SKU-1019,WH-03,2798,500
02/01/2025,SKU-1019,WH-04,1143,500
02/01/2025,SKU-1020,WH-01,1283,0
02/01/2025,SKU-1020,WH-02,1056,0
02/01/2025,SKU-1020,WH-03,1062,500
02/01/2025,SKU-1020,WH-04,1831,1000
02/01/2025,SKU-1021,WH-01,814,0
02/01/2025,SKU-1021,WH-02,1864,0
02/01/2025,SKU-1021,WH-03,1714,0
02/01/2025,SKU-1021,WH-04,1283,500
02/01/2025,SKU-1022,WH-01,2420,500
02/01/2025,SKU-1022,WH-02,0,0
02/01/2025,SKU-1022,WH-03,514,1000
02/01/2025,SKU-1022,WH-04,1001,0
02/01/2025,SKU-1023,WH-01,1769,0
02/01/2025,SKU-1023,WH-02,822,0
02/01/2025,SKU-1023,WH-03,2511,0
02/01/2025,SKU-1023,WH-04,1485,0
02/01/2025,SKU-1024,WH-01,2705,0
02/01/2025,SKU-1024,WH-02,1641,500
02/01/2025,SKU-1024,WH-03,1168,1000
02/01/2025,SKU-1024,WH-04,1995,0
03/01/2025,SKU-1001,WH-01,1624,0
03/01/2025,SKU-1001,WH-02,667,500
03/01/2025,SKU-1001,WH-03,1886,500
03/01/2025,SKU-1001,WH-04,2289,0
03/01/2025,SKU-1002,WH-01,2565,0
03/01/2025,SKU-1002,WH-02,3050,0
03/01/2025,SKU-1002,WH-03,920,0
03/01/2025,SKU-1002,WH-04,1348,0
03/01/2025,SKU-1003,WH-01,2989,0
03/01/2025,SKU-1003,WH-02,0,500
03/01/2025,SKU-1003,WH-03,2375,0
03/01/2025,SKU-1003,WH-04,1754,0
03/01/2025,SKU-1004,WH-01,467,0
03/01/2025,SKU-1004,WH-02,1034,0
03/01/2025,SKU-1004,WH-03,938,0
03/01/2025,SKU-1004,WH-04,1782,0
03/01/2025,SKU-1005,WH-01,1330,0
03/01/2025,SKU-1005,WH-02,0,0
03/01/2025,SKU-1005,WH-03,566,0
03/01/2025,SKU-1005,WH-04,732,1000
03/01/2025,SKU-1006,WH-01,1390,0
03/01/2025,SKU-1006,WH-02,1428,0
03/01/2025,SKU-1006,WH-03,3029,1000
03/01/2025,SKU-1006,WH-04,2614,0
03/01/2025,SKU-1007,WH-01,2578,500
03/01/2025,SKU-1007,WH-02,1183,500
03/01/2025,SKU-1007,WH-03,2511,1000
03/01/2025,SKU-1007,WH-04,1920,0
03/01/2025,SKU-1008,WH-01,2306,0
03/01/2025,SKU-1008,WH-02,2610,0
03/01/2025,SKU-1008,WH-03,2217,0
03/01/2025,SKU-1008,WH-04,1426,0
03/01/2025,SKU-1009,WH-01,1432,0
03/01/2025,SKU-1009,WH-02,430,1000
03/01/2025,SKU-1009,WH-03,1107,1000
03/01/2025,SKU-1009,WH-04,595,0
03/01/2025,SKU-1010,WH-01,2284,0
03/01/2025,SKU-1010,WH-02,1409,1000
03/01/2025,SKU-1010,WH-03,3120,0
03/01/2025,SKU-1010,WH-04,2115,500
03/01/2025,SKU-1011,WH-01,2765,0
03/01/2025,SKU-1011,WH-02,2329,0
03/01/2025,SKU-1011,WH-03,1178,0
03/01/2025,SKU-1011,WH-04,520,0
03/01/2025,SKU-1012,WH-01,983,0
03/01/2025,SKU-1012,WH-02,907,0
03/01/2025,SKU-1012,WH-03,1180,0
03/01/2025,SKU-1012,WH-04,935,1000
03/01/2025,SKU-1013,WH-01,2213,0
03/01/2025,SKU-1013,WH-02,1727,500
03/01/2025,SKU-1013,WH-03,2894,0
03/01/2025,SKU-1013,WH-04,2577,0
03/01/2025,SKU-1014,WH-01,724,500
03/01/2025,SKU-1014,WH-02,2845,0
03/01/2025,SKU-1014,WH-03,913,0
03/01/2025,SKU-1014,WH-04,424,0
03/01/2025,SKU-1015,WH-01,2393,500
03/01/2025,SKU-1015,WH-02,1757,1000
03/01/2025,SKU-1015,WH-03,1838,0
03/01/2025,SKU-1015,WH-04,2534,0
03/01/2025,SKU-1016,WH-01,1804,0
03/01/2025,SKU-1016,WH-02,2414,0
03/01/2025,SKU-1016,WH-03,2204,0
03/01/2025,SKU-1016,WH-04,442,0
03/01/2025,SKU-1017,WH-01,713,0
03/01/2025,SKU-1017,WH-02,1564,1000
03/01/2025,SKU-1017,WH-03,1417,1000
03/01/2025,SKU-1017,WH-04,1289,0
03/01/2025,SKU-1018,WH-01,504,0
03/01/2025,SKU-1018,WH-02,2582,500
03/01/2025,SKU-1018,WH-03,2904,0
03/01/2025,SKU-1018,WH-04,1109,0
03/01/2025,SKU-1019,WH-01,1433,0
03/01/2025,SKU-1019,WH-02,1219,0
03/01/2025,SKU-1019,WH-03,2741,1000
03/01/2025,SKU-1019,WH-04,1251,0
03/01/2025,SKU-1020,WH-01,1437,0
03/01/2025,SKU-1020,WH-02,1027,500
03/01/2025,SKU-1020,WH-03,960,500
03/01/2025,SKU-1020,WH-04,1691,0
03/01/2025,SKU-1021,WH-01,979,0
03/01/2025,SKU-1021,WH-02,1940,0
03/01/2025,SKU-1021,WH-03,1872,500
03/01/2025,SKU-1021,WH-04,1165,0
03/01/2025,SKU-1022,WH-01,2412,0
03/01/2025,SKU-1022,WH-02,57,0
03/01/2025,SKU-1022,WH-03,354,0
03/01/2025,SKU-1022,WH-04,1091,0
03/01/2025,SKU-1023,WH-01,1877,0
03/01/2025,SKU-1023,WH-02,920,1000
03/01/2025,SKU-1023,WH-03,2595,1000
03/01/2025,SKU-1023,WH-04,1590,0
03/01/2025,SKU-1024,WH-01,2732,1000
03/01/2025,SKU-1024,WH-02,1698,500
03/01/2025,SKU-1024,WH-03,1318,1000
03/01/2025,SKU-1024,WH-04,1897,500
06/01/2025,SKU-1001,WH-01,1522,500
06/01/2025,SKU-1001,WH-02,501,500
06/01/2025,SKU-1001,WH-03,1799,0
06/01/2025,SKU-1001,WH-04,2313,0
06/01/2025,SKU-1002,WH-01,2566,0
06/01/2025,SKU-1002,WH-02,3013,1000
06/01/2025,SKU-1002,WH-03,851,0
06/01/2025,SKU-1002,WH-04,1498,500
06/01/2025,SKU-1003,WH-01,2992,0
06/01/2025,SKU-1003,WH-02,0,0
06/01/2025,SKU-1003,WH-03,2389,0
06/01/2025,SKU-1003,WH-04,1595,500
06/01/2025,SKU-1004,WH-01,306,0
06/01/2025,SKU-1004,WH-02,996,0
06/01/2025,SKU-1004,WH-03,805,1000
06/01/2025,SKU-1004,WH-04,1852,0
06/01/2025,SKU-1005,WH-01,1262,0
06/01/2025,SKU-1005,WH-02,58,1000
06/01/2025,SKU-1005,WH-03,629,0
06/01/2025,SKU-1005,WH-04,718,1000
06/01/2025,SKU-1006,WH-01,1548,1000
06/01/2025,SKU-1006,WH-02,1348,0
06/01/2025,SKU-1006,WH-03,2874,0
06/01/2025,SKU-1006,WH-04,2518,0
06/01/2025,SKU-1007,WH-01,2497,0
06/01/2025,SKU-1007,WH-02,1278,1000
06/01/2025,SKU-1007,WH-03,2410,0
06/01/2025,SKU-1007,WH-04,2005,1000
06/01/2025,SKU-1008,WH-01,2382,1000
06/01/2025,SKU-1008,WH-02,2671,1000
06/01/2025,SKU-1008,WH-03,2199,0
06/01/2025,SKU-1008,WH-04,1283,0
06/01/2025,SKU-1009,WH-01,1613,0
06/01/2025,SKU-1009,WH-02,282,1000
06/01/2025,SKU-1009,WH-03,1013,0
06/01/2025,SKU-1009,WH-04,613,0
06/01/2025,SKU-1010,WH-01,2188,0
06/01/2025,SKU-1010,WH-02,1265,0
06/01/2025,SKU-1010,WH-03,3033,1000
06/01/2025,SKU-1010,WH-04,2020,0
06/01/2025,SKU-1011,WH-01,2929,0
06/01/2025,SKU-1011,WH-02,2216,0
06/01/2025,SKU-1011,WH-03,1163,0
06/01/2025,SKU-1011,WH-04,681,0
06/01/2025,SKU-1012,WH-01,1144,0
06/01/2025,SKU-1012,WH-02,0,0
06/01/2025,SKU-1012,WH-03,1223,0
06/01/2025,SKU-1012,WH-04,792,500
06/01/2025,SKU-1013,WH-01,2166,0
06/01/2025,SKU-1013,WH-02,1676,0
06/01/2025,SKU-1013,WH-03,2787,0
06/01/2025,SKU-1013,WH-04,2633,1000
06/01/2025,SKU-1014,WH-01,550,0
06/01/2025,SKU-1014,WH-02,2806,1000
06/01/2025,SKU-1014,WH-03,820,1000
06/01/2025,SKU-1014,WH-04,398,0
06/01/2025,SKU-1015,WH-01,2539,1000
06/01/2025,SKU-1015,WH-02,1917,1000
06/01/2025,SKU-1015,WH-03,1820,1000
06/01/2025,SKU-1015,WH-04,2489,0
06/01/2025,SKU-1016,WH-01,1777,0
06/01/2025,SKU-1016,WH-02,2545,0
06/01/2025,SKU-1016,WH-03,2237,0
06/01/2025,SKU-1016,WH-04,417,0
06/01/2025,SKU-1017,WH-01,783,0
06/01/2025,SKU-1017,WH-02,1445,0
06/01/2025,SKU-1017,WH-03,1345,0
06/01/2025,SKU-1017,WH-04,1469,0
06/01/2025,SKU-1018,WH-01,689,500
06/01/2025,SKU-1018,WH-02,2461,0
06/01/2025,SKU-1018,WH-03,2750,0
06/01/2025,SKU-1018,WH-04,1124,1000
06/01/2025,SKU-1019,WH-01,1417,1000
06/01/2025,SKU-1019,WH-02,1354,0
06/01/2025,SKU-1019,WH-03,2682,0
06/01/2025,SKU-1019,WH-04,1216,0
06/01/2025,SKU-1020,WH-01,1329,0
06/01/2025,SKU-1020,WH-02,1016,0
06/01/2025,SKU-1020,WH-03,992,500
06/01/2025,SKU-1020,WH-04,1653,500
06/01/2025,SKU-1021,WH-01,1000,0
06/01/2025,SKU-1021,WH-02,2059,0
06/01/2025,SKU-1021,WH-03,1932,0
06/01/2025,SKU-1021,WH-04,1016,0
06/01/2025,SKU-1022,WH-01,2296,0
06/01/2025,SKU-1022,WH-02,0,0
06/01/2025,SKU-1022,WH-03,345,500
06/01/2025,SKU-1022,WH-04,981,0
06/01/2025,SKU-1023,WH-01,1813,0
06/01/2025,SKU-1023,WH-02,747,0
06/01/2025,SKU-1023,WH-03,2634,0
06/01/2025,SKU-1023,WH-04,1512,0
06/01/2025,SKU-1024,WH-01,2856,0
06/01/2025,SKU-1024,WH-02,1712,500
06/01/2025,SKU-1024,WH-03,1413,500
06/01/2025,SKU-1024,WH-04,1957,500
07/01/2025,SKU-1001,WH-01,1388,1000
07/01/2025,SKU-1001,WH-02,651,1000
07/01/2025,SKU-1001,WH-03,1676,0
07/01/2025,SKU-1001,WH-04,2306,0
07/01/2025,SKU-1002,WH-01,2507,500
07/01/2025,SKU-1002,WH-02,2925,0
07/01/2025,SKU-1002,WH-03,759,1000
07/01/2025,SKU-1002,WH-04,1491,0
07/01/2025,SKU-1003,WH-01,2941,1000
07/01/2025,SKU-1003,WH-02,0,0
07/01/2025,SKU-1003,WH-03,2238,0
07/01/2025,SKU-1003,WH-04,1711,1000
07/01/2025,SKU-1004,WH-01,344,500
07/01/2025,SKU-1004,WH-02,952,1000
07/01/2025,SKU-1004,WH-03,703,0
07/01/2025,SKU-1004,WH-04,1898,0
07/01/2025,SKU-1005,WH-01,1238,0
07/01/2025,SKU-1005,WH-02,225,0
07/01/2025,SKU-1005,WH-03,774,0
07/01/2025,SKU-1005,WH-04,627,0
07/01/2025,SKU-1006,WH-01,1689,0
07/01/2025,SKU-1006,WH-02,1331,0
07/01/2025,SKU-1006,WH-03,2968,0
07/01/2025,SKU-1006,WH-04,2697,500
07/01/2025,SKU-1007,WH-01,2446,1000
07/01/2025,SKU-1007,WH-02,1149,0
07/01/2025,SKU-1007,WH-03,2433,0
07/01/2025,SKU-1007,WH-04,1883,0
07/01/2025,SKU-1008,WH-01,2545,500
07/01/2025,SKU-1008,WH-02,2583,0
07/01/2025,SKU-1008,WH-03,2319,500
07/01/2025,SKU-1008,WH-04,1416,0
07/01/2025,SKU-1009,WH-01,1593,0
07/01/2025,SKU-1009,WH-02,259,1000
07/01/2025,SKU-1009,WH-03,1114,0
07/01/2025,SKU-1009,WH-04,779,0
07/01/2025,SKU-1010,WH-01,2137,0
07/01/2025,SKU-1010,WH-02,1234,0
07/01/2025,SKU-1010,WH-03,2979,0
07/01/2025,SKU-1010,WH-04,2106,0
07/01/2025,SKU-1011,WH-01,3047,500
07/01/2025,SKU-1011,WH-02,2368,500
07/01/2025,SKU-1011,WH-03,1254,500
07/01/2025,SKU-1011,WH-04,651,500
07/01/2025,SKU-1012,WH-01,1093,0
07/01/2025,SKU-1012,WH-02,0,0
07/01/2025,SKU-1012,WH-03,1205,1000
07/01/2025,SKU-1012,WH-04,897,1000
07/01/2025,SKU-1013,WH-01,2231,0
07/01/2025,SKU-1013,WH-02,1814,0
07/01/2025,SKU-1013,WH-03,2700,1000
07/01/2025,SKU-1013,WH-04,2645,1000
07/01/2025,SKU-1014,WH-01,555,500
07/01/2025,SKU-1014,WH-02,2743,500
07/01/2025,SKU-1014,WH-03,0,0
07/01/2025,SKU-1014,WH-04,275,0
07/01/2025,SKU-1015,WH-01,2661,1000
07/01/2025,SKU-1015,WH-02,1744,0
07/01/2025,SKU-1015,WH-03,1822,0
07/01/2025,SKU-1015,WH-04,2542,0
07/01/2025,SKU-1016,WH-01,1923,500
07/01/2025,SKU-1016,WH-02,2378,0
07/01/2025,SKU-1016,WH-03,2290,500
07/01/2025,SKU-1016,WH-04,410,0
07/01/2025,SKU-1017,WH-01,617,1000
07/01/2025,SKU-1017,WH-02,1518,0
07/01/2025,SKU-1017,WH-03,1200,0
07/01/2025,SKU-1017,WH-04,1638,0
07/01/2025,SKU-1018,WH-01,511,500
07/01/2025,SKU-1018,WH-02,2639,0
07/01/2025,SKU-1018,WH-03,2705,0
07/01/2025,SKU-1018,WH-04,1094,1000
07/01/2025,SKU-1019,WH-01,1453,0
07/01/2025,SKU-1019,WH-02,1399,0
07/01/2025,SKU-1019,WH-03,2586,0
07/01/2025,SKU-1019,WH-04,1252,1000
07/01/2025,SKU-1020,WH-01,1302,0
07/01/2025,SKU-1020,WH-02,1120,1000
07/01/2025,SKU-1020,WH-03,978,0
07/01/2025,SKU-1020,WH-04,1725,500
07/01/2025,SKU-1021,WH-01,1107,0
07/01/2025,SKU-1021,WH-02,2195,1000
07/01/2025,SKU-1021,WH-03,1784,0
07/01/2025,SKU-1021,WH-04,1090,500
07/01/2025,SKU-1022,WH-01,2313,0
07/01/2025,SKU-1022,WH-02,1,500
07/01/2025,SKU-1022,WH-03,322,0
07/01/2025,SKU-1022,WH-04,877,500
07/01/2025,SKU-1023,WH-01,1771,0
07/01/2025,SKU-1023,WH-02,791,0
07/01/2025,SKU-1023,WH-03,2656,1000
07/01/2025,SKU-1023,WH-04,1464,0
07/01/2025,SKU-1024,WH-01,2860,0
07/01/2025,SKU-1024,WH-02,1765,0
07/01/2025,SKU-1024,WH-03,1256,500
07/01/2025,SKU-1024,WH-04,2083,0
08/01/2025,SKU-1001,WH-01,1288,0
08/01/2025,SKU-1001,WH-02,578,0
08/01/2025,SKU-1001,WH-03,1580,500
08/01/2025,SKU-1001,WH-04,2480,0
08/01/2025,SKU-1002,WH-01,2473,0
08/01/2025,SKU-1002,WH-02,2918,0
08/01/2025,SKU-1002,WH-03,752,0
08/01/2025,SKU-1002,WH-04,1398,1000
08/01/2025,SKU-1003,WH-01,3082,500
08/01/2025,SKU-1003,WH-02,0,1000
08/01/2025,SKU-1003,WH-03,2204,0
08/01/2025,SKU-1003,WH-04,1590,0
08/01/2025,SKU-1004,WH-01,362,0
08/01/2025,SKU-1004,WH-02,825,0
08/01/2025,SKU-1004,WH-03,723,0
08/01/2025,SKU-1004,WH-04,2066,0
08/01/2025,SKU-1005,WH-01,1376,0
08/01/2025,SKU-1005,WH-02,313,0
08/01/2025,SKU-1005,WH-03,735,500
08/01/2025,SKU-1005,WH-04,645,500
08/01/2025,SKU-1006,WH-01,1567,0
08/01/2025,SKU-1006,WH-02,1434,0
08/01/2025,SKU-1006,WH-03,2887,1000
08/01/2025,SKU-1006,WH-04,2789,0
08/01/2025,SKU-1007,WH-01,2385,0
08/01/2025,SKU-1007,WH-02,0,0
08/01/2025,SKU-1007,WH-03,2319,0
08/01/2025,SKU-1007,WH-04,2019,0
08/01/2025,SKU-1008,WH-01,2366,0
08/01/2025,SKU-1008,WH-02,2496,0
08/01/2025,SKU-1008,WH-03,2282,0
08/01/2025,SKU-1008,WH-04,1253,0
08/01/2025,SKU-1009,WH-01,1567,0
08/01/2025,SKU-1009,WH-02,184,0
08/01/2025,SKU-1009,WH-03,1248,0
08/01/2025,SKU-1009,WH-04,717,0
08/01/2025,SKU-1010,WH-01,2254,500
08/01/2025,SKU-1010,WH-02,1215,0
08/01/2025,SKU-1010,WH-03,2972,0
08/01/2025,SKU-1010,WH-04,1975,500
08/01/2025,SKU-1011,WH-01,3103,0
08/01/2025,SKU-1011,WH-02,2236,0
08/01/2025,SKU-1011,WH-03,1326,1000
08/01/2025,SKU-1011,WH-04,633,1000
08/01/2025,SKU-1012,WH-01,1276,0
08/01/2025,SKU-1012,WH-02,0,500
08/01/2025,SKU-1012,WH-03,1093,0
08/01/2025,SKU-1012,WH-04,845,0
08/01/2025,SKU-1013,WH-01,2084,500
08/01/2025,SKU-1013,WH-02,1937,0
08/01/2025,SKU-1013,WH-03,2553,0
08/01/2025,SKU-1013,WH-04,2561,0
08/01/2025,SKU-1014,WH-01,424,500
08/01/2025,SKU-1014,WH-02,2697,0
08/01/2025,SKU-1014,WH-03,11,500
08/01/2025,SKU-1014,WH-04,269,0
08/01/2025,SKU-1015,WH-01,2783,1000
08/01/2025,SKU-1015,WH-02,1597,1000
08/01/2025,SKU-1015,WH-03,1781,500
08/01/2025,SKU-1015,WH-04,2687,1000
08/01/2025,SKU-1016,WH-01,1969,0
08/01/2025,SKU-1016,WH-02,2472,0
08/01/2025,SKU-1016,WH-03,2299,0
08/01/2025,SKU-1016,WH-04,352,500
08/01/2025,SKU-1017,WH-01,544,0
08/01/2025,SKU-1017,WH-02,1389,0
08/01/2025,SKU-1017,WH-03,0,1000
08/01/2025,SKU-1017,WH-04,1649,0
08/01/2025,SKU-1018,WH-01,651,0
08/01/2025,SKU-1018,WH-02,2744,0
08/01/2025,SKU-1018,WH-03,2581,500
08/01/2025,SKU-1018,WH-04,1027,0
08/01/2025,SKU-1019,WH-01,1348,0
08/01/2025,SKU-1019,WH-02,1462,500
08/01/2025,SKU-1019,WH-03,2449,0
08/01/2025,SKU-1019,WH-04,1175,0
08/01/2025,SKU-1020,WH-01,1257,1000
08/01/2025,SKU-1020,WH-02,1284,0
08/01/2025,SKU-1020,WH-03,823,0
08/01/2025,SKU-1020,WH-04,1857,1000
08/01/2025,SKU-1021,WH-01,1295,1000
08/01/2025,SKU-1021,WH-02,2322,0
08/01/2025,SKU-1021,WH-03,1682,500
08/01/2025,SKU-1021,WH-04,1031,1000
08/01/2025,SKU-1022,WH-01,2275,0
08/01/2025,SKU-1022,WH-02,0,500
08/01/2025,SKU-1022,WH-03,168,500
08/01/2025,SKU-1022,WH-04,894,1000
08/01/2025,SKU-1023,WH-01,1823,0
08/01/2025,SKU-1023,WH-02,0,0
08/01/2025,SKU-1023,WH-03,2548,500
08/01/2025,SKU-1023,WH-04,1396,500
08/01/2025,SKU-1024,WH-01,2988,0
08/01/2025,SKU-1024,WH-02,1868,0
08/01/2025,SKU-1024,WH-03,1286,0
08/01/2025,SKU-1024,WH-04,1953,0
09/01/2025,SKU-1001,WH-01,1213,0
09/01/2025,SKU-1001,WH-02,751,500
09/01/2025,SKU-1001,WH-03,1530,500
09/01/2025,SKU-1001,WH-04,2450,0
09/01/2025,SKU-1002,WH-01,2309,1000
09/01/2025,SKU-1002,WH-02,3106,500
